video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,right_shoulder X,right_shoulder Y,left_shoulder X,left_shoulder Y,left_elbow X,left_elbow Y,right_wrist X,right_wrist Y,left_wrist X,left_wrist Y,nose X,nose Y,right_hip X,right_hip Y,left_hip X,left_hip Y,right_knee X,right_knee Y,left_knee X,left_knee Y,right_ankle X,right_ankle Y,left_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,13.516458619954648,9.413474612633724,178.8725900629383,165.3454800798402,176.09587881418955,282,101,331,90,329,136,303,181,322,177,294,74,301,176,331,171,289,240,347,234,277,304,360,298,318,301
0:00:00,13.516458619954648,9.413474612633724,178.8725900629383,165.3454800798402,176.09587881418955,282,101,331,90,329,136,303,181,322,177,294,74,301,176,331,171,289,240,347,234,277,304,360,298,318,301
0:00:00,13.272586129018862,8.834814289664624,179.27937955826891,164.3008028372568,176.21688404209053,282,101,332,90,329,135,304,181,322,176,293,71,301,176,333,171,289,238,347,234,277,304,360,298,318,301
0:00:00,13.272586129018862,8.834814289664624,179.27937955826891,164.3008028372568,176.21688404209053,282,101,332,90,329,135,304,181,322,176,293,71,301,176,333,171,289,238,347,234,277,304,360,298,318,301
0:00:00,13.03784391438009,8.834814289664624,179.4617175488654,163.79984228943752,176.28172417468943,281,101,332,90,329,135,304,181,322,176,292,70,301,176,333,171,289,238,347,234,277,305,360,298,318,301
0:00:00,13.03784391438009,8.834814289664624,179.4617175488654,163.79984228943752,176.28172417468943,281,101,332,90,329,135,304,181,322,176,292,70,301,176,333,171,289,238,347,234,277,305,360,298,318,301
0:00:00,13.03784391438009,10.564833149754605,179.474743945706,163.52254460924289,176.31812216315095,281,101,332,90,329,135,304,181,322,176,292,69,301,176,333,170,289,238,347,234,277,306,360,298,318,302
0:00:00,13.03784391438009,10.564833149754605,179.474743945706,163.52254460924289,176.31812216315095,281,101,332,90,329,135,304,181,322,176,292,69,301,176,333,170,289,238,347,234,277,306,360,298,318,302
0:00:00,13.03784391438009,10.251649488171237,179.39803679797123,163.4086526232867,176.36128442476306,281,101,332,90,329,135,304,181,322,176,292,68,301,176,334,170,289,238,347,234,277,306,360,298,318,302
0:00:00,13.03784391438009,10.251649488171237,179.39803679797123,163.4086526232867,176.36128442476306,281,101,332,90,329,135,304,181,322,176,292,68,301,176,334,170,289,238,347,234,277,306,360,298,318,302
0:00:00,13.03784391438009,10.251649488171237,179.38762309108597,163.3146159639206,176.37990259281787,281,101,332,90,329,135,304,181,322,176,292,68,301,176,334,170,289,238,347,233,277,306,360,298,318,302
0:00:00,13.03784391438009,10.251649488171237,179.38762309108597,163.3146159639206,176.37990259281787,281,101,332,90,329,135,304,181,322,176,292,68,301,176,334,170,289,238,347,233,277,306,360,298,318,302
